Name, RA, Dec, N_exp, SNR
HD21411,51.54932,-30.61724,4,214.522446378
HD66221,120.52263,-12.80521,29,618.105969879
HD20619,49.75992,-2.84377,38,1089.96067819
HD36108,82.08696,-22.43342,30,1110.79109197
HD13513A,32.76022,-35.67136,5,62.3771592813
CD-44-836B,41.31049,-43.73887,12,35.0894571061
Gl887,346.47635,-35.85416,132,1049.65427165
LHS3583,311.67001,-81.72119,8,33.5195465363
HD7199,17.70477,-66.18798,115,1185.74204193
HD15337,36.86812,-27.63767,58,600.022899563
HD218504,347.1792,-18.75364,70,950.458878648
HD23356,55.98291,-19.11112,56,810.503781607
HD222335,354.96435,-32.743,27,883.325687388
HD17548,42.21599,-1.51056,38,674.813633532
HD6735,16.88736,-41.74605,33,960.763212243
BD-120327,26.46161,-11.33287,5,67.0470730159
HD29303,68.7696,-41.56376,3,54.9223087643
HIP20444,65.69757,-33.1232,5,84.8518709281
BD-170063,7.14269,-16.22747,29,197.382547354
Gl203,81.99994,9.64238,11,29.2203696075
HD220367,351.08297,-72.16492,27,857.165310777
HD1690,5.30643,-8.28189,44,241.465318421
HD3220,8.75979,-48.935,173,980.745084107
HD14374,34.81726,-0.78115,19,452.975816132
HD204385,322.70726,-62.16707,23,769.497342426
HD75289,131.91976,-41.73841,21,892.952064783
HD207832,328.15289,-26.02758,74,473.036171978
HD32646,76.09408,-10.14935,6,92.1883940635
HD211583,334.69254,-29.75472,21,141.298089159
HD31128,73.04181,-27.06404,261,1097.02918375
HD221146,352.37529,-1.0376,19,848.816534947
BD-171959,111.14431,-17.8927,5,63.7279373587
HD4915,12.79575,-5.03922,58,1334.32755724
HD208272,328.92664,-29.70604,30,595.67323257
HD16008,38.45628,-19.61173,67,673.49846325
HD30306,70.00315,-71.50638,22,562.887164537
HD39091,84.30771,-80.46842,93,2022.5065414
HD61383,114.7158,-5.46564,22,394.123001105
HD20407,48.77846,-45.66692,51,1339.14211344
HD71835,127.05075,-36.72295,115,1166.8034496
HD221356,352.88065,-4.08785,45,1502.62940541
HD210573,333.20488,-56.41979,12,112.527374447
HD85390,147.51004,-49.79143,96,946.258685561
Gl87,33.0839,3.57206,123,371.70696792
BD-150767,65.04622,-14.76114,5,69.7893258314
LHS3799,335.77965,-17.61196,4,10.1774260007
PKS0237-23,40.03489,-23.15376,2,3.77359245282
HD207129,327.06614,-47.30419,286,3479.55546299
HD57568,110.34585,-12.63728,6,84.925025758
HD4307,11.36755,-12.88206,81,1622.75476582
HD8638,21.20513,-27.83889,37,710.689369556
HD61447,114.57191,-27.146,6,101.196146172
HD76151,133.57355,-5.43497,8,764.847416156
HD207970,328.42573,-28.67103,20,609.863812666
HR3454,130.80607,3.39722,4,530.467218591
HD88742,153.35328,-33.03212,32,1201.34324404
HD16141,38.83491,-3.56141,5,378.620482806
HD177758,286.6042,-11.89906,39,872.550147556
HD18719,45.07199,-9.04151,17,354.964970103
HD12345,30.20387,-12.87642,23,428.459578023
HD223171,356.83777,-48.27515,127,1989.63848726
Gl341,140.40508,-60.28256,54,348.042554869
Gl433,173.86392,-32.54354,90,469.027206034
BD-150728,62.36128,-14.69871,4,59.0476925883
HD72769,128.43997,-23.35639,39,997.480796808
HD40397,89.59038,-4.65156,55,1270.09324461
Gl406,164.11615,7.01138,33,166.941816212
HIP25612,82.08776,-81.77758,14,95.0643992249
HD208573,329.45563,-29.12101,3,102.555887203
HD22249,53.26873,-46.72249,13,131.857498839
HD40483,89.23041,-44.00882,7,234.465562503
HIP1044,3.26276,-45.17618,21,122.115887582
HD16270,39.00428,-23.52222,18,202.65206636
HD8326,20.53278,-26.89259,8,187.060738799
HD28471,66.29597,-64.08033,50,1031.29041981
Gl867B,339.68814,-20.61904,3,61.538280769
HD4967,12.89116,-22.90964,4,101.364244189
HD40865,89.982,-37.05653,68,723.167242068
BD-004234,323.04789,0.22017,1,11.0
HD45289,96.10297,-42.84755,101,1638.76482144
HD95521,165.20997,-49.02112,25,798.014247993
Gl832,323.39372,-49.01135,59,531.683599521
HIP6097,19.56852,-12.90186,15,57.3625313249
HD51754,104.66003,-0.48119,55,590.610675488
BD-130116,10.35053,-13.17234,13,104.746694459
HD25673,61.08644,-4.65531,23,299.66860029
Gl300,123.17141,-21.55322,39,89.0186497314
HD40105,88.54867,-50.3636,54,1327.9536626
HD199604,314.77058,-25.38258,47,623.20262355
BD-150869,72.38622,-14.78971,9,83.754104377
HD67,1.37197,-61.22514,26,191.315864475
HD7449,18.6229,-5.04716,131,1749.00058319
BD-131161,82.2022,-13.54269,7,101.081402839
HD224817,0.24412,-11.8251,125,1059.0428556
HD14747,34.89536,-67.69874,23,543.125280207
HD87521,151.14259,-39.31712,3,109.016741834
HD20852,50.18648,-26.28946,14,343.609007449
No-Name,76.24559,-49.57854,42,1614.41252473
HD24990A,59.02396,-47.7736,1,50.6
HD220507,351.17747,-52.70164,135,1737.85112999
HD16280,39.00544,-27.17785,58,280.834096933
HD219249,348.79273,-56.72868,21,597.501472802
HD96423,166.58337,-44.37484,77,1474.34729966
BD-060904,66.51049,-6.18127,6,89.9968888351
HD69611,124.3716,-3.99016,37,637.543535768
HD63765,116.95833,-54.26487,52,897.857132288
HD11397,27.92048,-16.31823,69,656.062207416
HD17865,42.67297,-44.08239,54,792.083953884
HD2638,7.49967,-5.76536,49,366.741830175
HIP19333,62.15481,-59.52724,17,124.738967448
HD16536,39.74547,-2.5866,3,86.5173970945
HIP28754,91.08788,-55.31255,22,66.1557253758
HIP31293,98.43224,-75.63054,27,104.781868661
LHS1134,10.85903,-41.29554,6,16.8014880293
HD218572,347.59737,-68.83846,6,221.704736079
HD68978A,123.39455,-31.738,165,2385.41018066
BD-092670,132.49215,-9.79723,3,47.6845887054
HD7279,18.19295,-25.23742,11,110.489320751
HD750,2.90514,-57.47232,18,289.148214589
Gl357,144.00712,-21.66282,53,173.935792751
HD43717,94.22177,-18.60663,25,117.283715835
HD24331,57.64975,-42.56708,12,309.655954246
BD-202665A,131.17173,-21.43063,1,20.8
HD15906,38.27152,-10.35154,17,156.146821934
HD9578,23.32228,-38.24423,47,371.119360853
HIP36347,112.21513,-24.14378,4,57.8409024826
HD1686,5.08517,-77.22295,4,104.670482945
HD50806,103.39241,-28.53933,80,1907.78680937
HD197083,310.61599,-33.32925,45,465.458719974
HD63754,117.43898,-20.20859,8,225.808724366
HD34751A,79.6965,-21.39306,2,38.360396244
Gl273,111.85246,5.22063,284,588.775806228
BD-130718,55.77538,-12.89402,6,69.290836335
HD208,1.7277,-3.62599,38,552.465790796
LHS1723,75.48961,-6.94791,157,322.14287203
HD11683,28.59192,-15.72747,1,43.7
GJ1057,48.34795,4.7738,9,10.2376755174
HD205536,325.13801,-74.07349,36,999.439217762
HD49855,100.9477,-71.97627,17,302.400198413
HD204587,322.51394,-12.50947,4,80.7175941168
HD26965A,63.81569,-7.65597,200,3891.4420746
LHS3746,330.62399,-37.0836,5,31.9388478189
HD13724,33.08732,-46.81853,28,703.997208801
HD34253,78.61633,-36.17174,7,96.2645313706
HD2071,6.18177,-53.98447,83,1462.46807828
HD25704,60.44127,-57.20626,22,398.237592399
HIP26542,84.67011,-38.3587,7,140.370723443
HD21759,52.48641,-19.61976,5,88.0006818155
HD224393,359.40202,-65.77518,25,470.864757653
HD88084,152.28495,-15.49531,24,730.116161991
HD29985,70.52193,-33.91882,6,89.8040088192
HIP8224A,26.50124,-80.30062,14,100.345951587
HD211038,333.66077,-15.81883,159,2158.9227939
HD29980,70.81947,-9.61703,1,34.0
HD209742,331.69511,-45.39472,26,514.032946415
HD82516,142.74816,-47.38595,97,999.125302452
HD78538,137.19705,-5.11598,9,311.946790335
LTT9759,358.47738,-75.63259,11,92.3981601548
hd101131,174.45397,-63.32359,5,283.231107049
HD60700A,113.80242,-17.54872,1,74.3
HD290327,80.83996,-2.27746,55,1519.21604784
HD16905,40.01635,-61.35369,38,217.723218789
HD212563,336.41779,-24.73196,2,77.1567236215
HD34688,79.67968,-14.01797,22,369.634846842
HD10002,24.28746,-29.39484,22,500.338025739
HD75881,133.08605,-12.80927,7,225.728775303
Gl849,332.41834,-4.64338,48,220.574341209
HIP14593A,47.1079,-24.16833,4,66.8436982819
HD206998,326.93691,-55.65488,71,649.09044054
HD37986,85.47412,-15.63104,30,862.854489471
HD11226,27.56537,-6.70506,44,1186.81309396
HD68284,122.95572,4.27435,67,874.337429143
GJ1001,1.15369,-40.73803,28,40.3874980656
HD65562,119.71728,-13.31573,28,472.120143608
HD34327,78.36866,-55.569,9,202.300296589
HD207700,328.69845,-73.43917,26,619.039118312
HD7134,17.88608,-12.8428,24,793.452430836
HD30177,70.47711,-58.02046,42,554.219424055
HIP38594,118.54656,-25.30228,17,121.202929008
HIP12961,41.67945,-23.08788,48,226.806415253
HD11608,28.38194,-21.25322,19,181.257717077
HD21209A,50.82562,-49.99144,51,557.898476427
HD220256,350.59917,-0.41538,26,503.595045647
