# Name, RA, Dec, N_exp, SNR, parallax, parallax_error, Kmag, Kmag_err, Bmag, Bmag_err, Vmag, Vmag_err
124641,191.67242,-21.94238,1.0,29.6,0.735765033189,0.67651721955,5.17000007629,0.0,11.6680002213,0.180000007153,10.1619997025,0.196999996901
mk6,294.20292,-34.42907,1.0,26.2,0.748616554087,0.59263871442,6.07399988174,0.0,12.7700004578,0.532999992371,11.0979995728,0.518000006676
HIP29526,93.30729,-5.00885,1.0,230.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mk21,274.54534,-35.56539,1.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IO_Aqr,310.19451,0.93924,18.0,251.902203246,3.97860515746,0.24642080474,7.55499982834,0.0,9.26399993896,0.0,8.73900032043,0.0
LRa02_E1_4807,102.91608,-4.2556,20.0,42.7601449951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD98649,170.21765,-23.21659,1.0,179.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR-Hyi,63.75566,-69.53484,1.0,104.1,1.70739977259,0.329561764853,10.0959997177,0.0,10.7159996033,0.0450000017881,10.5749998093,0.0329999998212
HD-31950,75.10563,15.09083,1.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIP110655,336.26536,-33.20247,5.0,58.3991438293,30.6332901634,0.256922052994,7.3060002327,0.0,11.8660001755,0.0250000003725,10.6300001144,0.0640000030398
HD49310,102.04901,10.1886,3.0,258.386764367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ3817,209.55595,12.57748,10.0,27.1007379973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mk1,212.6014,-30.95834,2.0,34.8041664173,0.799926672538,0.300284189319,6.66499996185,0.0,11.7700004578,0.10000000149,10.2849998474,0.0509999990463
V1063Sco,250.17958,-41.12699,1.0,200.8,2.21284955705,0.40339587334,7.42999982834,0.0,nan,nan,nan,nan
HD203040,320.06031,-19.85334,5.0,122.21464724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRa02_E2_5607,102.48494,-5.10839,17.0,57.21092553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD-Tau,79.3819,20.13143,5.0,226.138917482,13.5589364933,0.375335187463,5.58900022507,0.0,0.0,0.0,0.0,0.0
HIP-65201,200.4333,-39.31026,3.0,321.126330281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
